# step, elapsed_sec, agent_ids, cosine_matrix_flat_rowmajor
249,220.535058,['1_train', '1_test'],[1.0, 0.022033916786313057, 0.022033916786313057, 1.0]
250,220.583546,['1_train', '1_test'],[1.0, 0.021239779889583588, 0.021239779889583588, 0.9999999403953552]
251,220.632094,['1_train', '1_test'],[1.0, 0.021542713046073914, 0.021542713046073914, 1.0]
252,220.680881,['1_train', '1_test'],[1.0, 0.019501300528645515, 0.019501300528645515, 0.9999999403953552]
253,220.728847,['1_train', '1_test'],[1.0, 0.01879356987774372, 0.01879356987774372, 1.000000238418579]
254,220.777540,['1_train', '1_test'],[1.0, 0.017838560044765472, 0.017838560044765472, 0.9999997615814209]
255,220.825816,['1_train', '1_test'],[1.0, 0.01545687671750784, 0.01545687671750784, 1.0]
256,220.874360,['1_train', '1_test'],[1.0, 0.01548125222325325, 0.01548125222325325, 1.0]
257,220.922756,['1_train', '1_test'],[1.0, 0.014836529269814491, 0.014836529269814491, 1.0]
258,220.970236,['1_train', '1_test'],[1.0, 0.010866330936551094, 0.010866330936551094, 1.000000238418579]
