# step, elapsed_sec, agent_ids, cosine_matrix_flat_rowmajor
52,171.640134,['1_train', '1_test'],[1.0, -0.05229642614722252, -0.05229642614722252, 1.0000001192092896]
53,171.729496,['1_train', '1_test'],[1.0, -0.05346236750483513, -0.05346236750483513, 1.0]
54,171.818407,['1_train', '1_test'],[1.0, -0.053272683173418045, -0.053272683173418045, 1.0000001192092896]
55,171.862835,['1_train', '1_test'],[1.0, -0.05517346039414406, -0.05517346039414406, 1.0000001192092896]
56,171.907270,['1_train', '1_test'],[1.0, -0.058330997824668884, -0.058330997824668884, 1.0]
57,171.996313,['1_train', '1_test'],[1.0, -0.05921759828925133, -0.05921759828925133, 1.0000001192092896]
58,172.040982,['1_train', '1_test'],[1.0, -0.06145548075437546, -0.06145548075437546, 0.9999999403953552]
59,172.085147,['1_train', '1_test'],[1.0, -0.062373921275138855, -0.062373921275138855, 1.0]
60,172.129780,['1_train', '1_test'],[1.0, -0.062238387763500214, -0.062238387763500214, 1.000000238418579]
61,172.174182,['1_train', '1_test'],[1.0, -0.06221548467874527, -0.06221548467874527, 1.0000001192092896]
62,172.218534,['1_train', '1_test'],[1.0, -0.06262965500354767, -0.06262965500354767, 1.0000001192092896]
63,172.262945,['1_train', '1_test'],[1.0, -0.06247369572520256, -0.06247369572520256, 1.0000001192092896]
64,172.307348,['1_train', '1_test'],[1.0, -0.060374099761247635, -0.060374099761247635, 0.9999998807907104]
65,172.352154,['1_train', '1_test'],[1.0, -0.06110008805990219, -0.06110008805990219, 1.000000238418579]
66,172.396610,['1_train', '1_test'],[1.0, -0.061080045998096466, -0.061080045998096466, 1.0]
67,172.441478,['1_train', '1_test'],[1.0, -0.060961902141571045, -0.060961902141571045, 1.0]
68,172.486276,['1_train', '1_test'],[1.0, -0.061240289360284805, -0.061240289360284805, 1.0]
69,172.530686,['1_train', '1_test'],[1.0, -0.061025191098451614, -0.061025191098451614, 1.0]
70,172.574906,['1_train', '1_test'],[1.0, -0.0598670169711113, -0.0598670169711113, 1.0000001192092896]
71,172.619568,['1_train', '1_test'],[1.0, -0.05900854244828224, -0.05900854244828224, 0.9999999403953552]
72,172.663776,['1_train', '1_test'],[1.0, -0.05743972957134247, -0.05743972957134247, 1.0]
73,172.708429,['1_train', '1_test'],[1.0, -0.05771331116557121, -0.05771331116557121, 1.000000238418579]
74,172.752910,['1_train', '1_test'],[1.0, -0.056946899741888046, -0.056946899741888046, 0.9999998807907104]
75,172.797048,['1_train', '1_test'],[1.0, -0.056116651743650436, -0.056116651743650436, 1.0]
76,172.841656,['1_train', '1_test'],[1.0, -0.05426090583205223, -0.05426090583205223, 1.000000238418579]
77,172.886203,['1_train', '1_test'],[1.0, -0.05526414141058922, -0.05526414141058922, 0.9999998807907104]
78,172.930658,['1_train', '1_test'],[1.0, -0.054907575249671936, -0.054907575249671936, 1.0000001192092896]
79,172.974707,['1_train', '1_test'],[1.0, -0.05171377211809158, -0.05171377211809158, 1.0]
80,173.019631,['1_train', '1_test'],[1.0, -0.05059331655502319, -0.05059331655502319, 1.0000001192092896]
81,173.064079,['1_train', '1_test'],[1.0, -0.047563083469867706, -0.047563083469867706, 1.000000238418579]
82,173.108675,['1_train', '1_test'],[1.0, -0.045560501515865326, -0.045560501515865326, 1.0]
83,173.153003,['1_train', '1_test'],[1.0, -0.04485976696014404, -0.04485976696014404, 1.0]
84,173.197103,['1_train', '1_test'],[1.0, -0.043135903775691986, -0.043135903775691986, 1.0000001192092896]
85,173.241775,['1_train', '1_test'],[1.0, -0.04248647019267082, -0.04248647019267082, 0.9999998807907104]
86,173.286175,['1_train', '1_test'],[1.0, -0.04236011579632759, -0.04236011579632759, 0.9999999403953552]
87,173.328935,['1_train', '1_test'],[1.0, -0.04125861078500748, -0.04125861078500748, 1.0000001192092896]
88,173.376529,['1_train', '1_test'],[1.0, -0.041422631591558456, -0.041422631591558456, 1.0]
89,173.425779,['1_train', '1_test'],[1.0, -0.04005853831768036, -0.04005853831768036, 0.9999999403953552]
90,173.469971,['1_train', '1_test'],[1.0, -0.038182079792022705, -0.038182079792022705, 0.9999998211860657]
91,173.563283,['1_train', '1_test'],[1.0, -0.03592708334326744, -0.03592708334326744, 0.9999999403953552]
92,173.608145,['1_train', '1_test'],[1.0, -0.033926691859960556, -0.033926691859960556, 1.000000238418579]
93,173.653208,['1_train', '1_test'],[1.0, -0.032327257096767426, -0.032327257096767426, 1.0]
94,173.698431,['1_train', '1_test'],[1.0, -0.030005306005477905, -0.030005306005477905, 0.9999997615814209]
95,173.743661,['1_train', '1_test'],[1.0, -0.028616953641176224, -0.028616953641176224, 1.000000238418579]
96,173.789318,['1_train', '1_test'],[1.0, -0.026272781193256378, -0.026272781193256378, 0.9999998807907104]
97,173.834410,['1_train', '1_test'],[1.0, -0.02469784952700138, -0.02469784952700138, 1.0]
98,173.880291,['1_train', '1_test'],[1.0, -0.022837668657302856, -0.022837668657302856, 1.0]
